Summary,Issue Type,Description,Priority,Story Points,Issue Id,Parent Id
"E01: Core Learning Experience",Epic,"Główne funkcjonalności związane z procesem nauki, odtwarzaniem materiałów i weryfikacją wiedzy.",High,,1,
"E02: Management & Analytics",Epic,"Funkcjonalności dla Managerów i HR: raportowanie, przypisywanie ścieżek, zarządzanie użytkownikami.",Medium,,2,
"US-3: Odtwarzanie wideo z Active Recall",Story,"*Jako pracownik, chcę odpowiadać na pytania w trakcie oglądania wideo, aby na bieżąco weryfikować zrozumienie materiału.*

**Opis:**
Implementacja interaktywnego odtwarzacza wideo, który zatrzymuje się w zdefiniowanych momentach i wyświetla pytania (Active Recall). Jest to kluczowa funkcja wyróżniająca system.

**Kryteria Akceptacji:**
1. **Scenario: Active Recall**
   - **Given:** Oglądam wideo szkoleniowe.
   - **When:** Wideo dociera do znacznika czasu z przypisanym pytaniem.
   - **Then:** Odtwarzanie jest pauzowane automatycznie.
   - **And:** Na ekranie pojawia się pytanie wielokrotnego wyboru.
   - **And:** Nie mogę wznowić odtwarzania bez udzielenia odpowiedzi.

2. **Scenario: Błąd ładowania**
   - **Given:** Próbuję otworzyć materiał.
   - **When:** Wystąpi błąd sieci.
   - **Then:** Wyświetla się przycisk ""Spróbuj ponownie"", postęp nie jest tracony.

**Refinement:**
- Wybór biblioteki wideo (np. Video.js).
- Format zapisu markerów czasowych w bazie (JSON).",High,8,,1
"US-1: Przeglądanie Katalogu Kursów",Story,"*Jako pracownik, chcę przeglądać katalog dostępnych ścieżek rozwoju, abym mógł wybrać te zgodne z moimi zainteresowaniami.*

**Opis:**
Strona główna katalogu z możliwością filtrowania i wyszukiwania.

**Kryteria Akceptacji:**
1. **Scenario: Wyświetlenie katalogu**
   - **Given:** Jestem zalogowanym pracownikiem.
   - **When:** Wchodzę w zakładkę ""Katalog"".
   - **Then:** Widzę listę kafelków z nazwami ścieżek, poziomem trudności i czasem trwania.

2. **Scenario: Brak wyników**
   - **Given:** Wpisuję frazę, której nie ma.
   - **Then:** System wyświetla komunikat ""Nie znaleziono kursów"" i sugeruje wyczyszczenie filtrów.

**Refinement:**
- Stworzenie indeksów w bazie danych dla szybkiego wyszukiwania.
- Implementacja paginacji (lazy loading).",High,5,,1
"Zapisywanie postępów wideo",Story,"Jako użytkownik, chcę, aby system pamiętał, w którym momencie przerwałem oglądanie, abym mógł kontynuować naukę później.",Medium,3,,1
"Wyszukiwanie kursów (Search Bar)",Story,"Jako użytkownik, chcę wyszukiwać kursy po nazwie i tagach, aby szybko znaleźć interesujące mnie treści.",Medium,3,,1
"US-4: Rozwiązywanie Quizu końcowego",Story,"Jako użytkownik, chcę rozwiązać test po zakończeniu modułu, aby zaliczyć szkolenie (min. 80% poprawnych odpowiedzi).",High,5,,1
"Wyświetlanie wyniku Quizu",Story,"Jako użytkownik, chcę natychmiast zobaczyć swój wynik i informację o zaliczeniu lub konieczności poprawki.",Medium,2,,1
"US-2: Przypisanie ścieżki przez Managera",Story,"Jako Manager, chcę przypisać ścieżkę obligatoryjną podwładnemu, aby zadbać o jego rozwój wymagany w projekcie.",High,3,,2
"US-5: Generowanie raportu postępów",Story,"Jako HR Manager, chcę wygenerować raport (CSV/PDF) dla wybranego zespołu, aby rozliczyć realizację celów szkoleniowych.",Medium,5,,2
"Logowanie SSO (Azure AD)",Story,"Jako użytkownik, chcę logować się kontem firmowym, aby nie musieć pamiętać nowego hasła.",High,5,,2
"US-7: Algorytm Asystenta Powtórek",Story,"Jako pracownik, chcę otrzymywać sugestie powtórek oparte o algorytm Spaced Repetition, aby trwale zapamiętać wiedzę.",Low,8,,1


"E03: Marketplace",Epic,"Funkcjonalności związane z systemem motywacyjnym, portfelem punktowym i wymianą punktów na nagrody.",High,,3,
"US-09: Wymiana punktów w Marketplace",Story,"*Jako pracownik, chcę wymienić zgromadzone punkty edukacyjne na nagrodę, aby sfinansować certyfikację lub otrzymać inny benefit bez składania wniosków.*

**Opis:**
Implementacja mechanizmu transakcyjnego, który sprawdza saldo użytkownika i rejestruje wymianę punktów na wybrany benefit. Wymaga blokady transakcyjnej w bazie danych.

**Kryteria Akceptacji:**
1. **Scenario: Pomyślny zakup**
   - **Given:** Mam 1000 pkt na koncie.
   - **And:** Wybrałem nagrodę ""Voucher AWS"" kosztującą 800 pkt.
   - **When:** Klikam ""Wymień"" i potwierdzam operację.
   - **Then:** System odejmuje 800 pkt z mojego salda (pozostaje 200 pkt).
   - **And:** Status nagrody zmienia się na ""Oczekiwanie na realizację"".

2. **Scenario: Brak środków**
   - **Given:** Mam 100 pkt.
   - **When:** Próbuję kupić nagrodę za 500 pkt.
   - **Then:** Przycisk zakupu jest nieaktywny lub system wyświetla komunikat ""Niewystarczająca liczba punktów"".",High,8,,3
"US-10: Przeglądanie katalogu nagród",Story,"*Jako pracownik, chcę przeglądać dostępne nagrody i filtrować je po kategoriach, aby znaleźć cel, na który chcę zbierać punkty.*

**Opis:**
Stworzenie widoku kafelkowego (Grid) prezentującego dostępne nagrody (tytuł, zdjęcie, cena w punktach) z możliwością filtracji.

**Kryteria Akceptacji:**
1. **Scenario: Filtrowanie po kategorii**
   - **Given:** Jestem w zakładce Marketplace.
   - **When:** Wybieram kategorię ""Książki"".
   - **Then:** Widzę listę dostępnych książek z cenami w punktach.
   - **And:** Inne kategorie (np. ""Konferencje"") są ukryte.

2. **Scenario: Pasek postępu**
   - **Given:** Oglądam nagrodę, na którą mnie nie stać.
   - **Then:** Widzę pasek postępu pokazujący, ile punktów brakuje mi do jej zdobycia.",Medium,5,,3
"US-11: Widok portfela i historii",Story,"*Jako pracownik, chcę widzieć historię przyznanych i wydanych punktów, aby mieć kontrolę nad moim budżetem rozwojowym.*

**Opis:**
Implementacja widoku ""Mój Portfel"" prezentującego saldo oraz listę historycznych transakcji.

**Kryteria Akceptacji:**
1. **Scenario: Wyświetlenie historii**
   - **Given:** Wchodzę w ""Mój Portfel"".
   - **Then:** Widzę aktualne saldo punktowe (np. 1250 pkt).
   - **And:** Widzę listę operacji (Data, Opis, Wartość).
   - **And:** Operacje uznania są na zielono (np. ""+50 pkt - Quiz Java""), a obciążenia na czerwono (np. ""-800 pkt - Voucher"").",Medium,3,,3
"HR: Zarządzanie katalogiem nagród",Story,"*Jako HR Manager, chcę dodawać nowe nagrody i ustalać ich cenę w punktach, aby zarządzać ofertą benefitową firmy.*

**Opis:**
Panel administracyjny (CRUD) dla encji Reward, dostępny tylko dla roli HR.

**Kryteria Akceptacji:**
1. **Scenario: Dodanie nowej nagrody**
   - **Given:** Jestem zalogowany jako HR Manager.
   - **When:** Dodaję nową nagrodę ""Wejściówka na konferencję"" i ustalam cenę na 2500 pkt.
   - **Then:** Nagroda pojawia się w katalogu widocznym dla pracowników.
   - **And:** Mogę edytować jej dostępność (np. ukryć, gdy pula się wyczerpie).",Low,5,,3
